CNAEF_Areas of Education and Training,CNAEF_Areas of Education and Training_Main Code,Institution_Name,Institution_ID,Institution_School,School_ID,Course_Name,Course_ID,Location,Course_Level,Course_Level(ii),Course_Type,Course_Duration,Course_Credits,Education System,Education Sub-System,Teachin&Learning_Specialization,Teachin&Learning_Thematic Areas,Teachin&Learning_Topics Covered,Teachin&Learning_Teaching Staff,Teachin&Learning_Delivery Modes,Teachin&Learning_Accreditation,Teachin&Learning_Accrediting Institution,Contacts_Contact Person Name,Contacts_Contact Person Address,Contacts_Course Director Name,Contacts_Course Director Address,Contacts_Course Website,Activity_Status,Activity_Last Updated,Job Prospects_Career Center,Job Prospects_Partnerships,Job Prospects_Internship,Job Prospects_Employability
Biologia e Bioquímica,421,Universidade de Évora,, Escola de Ciências e Tecnologia,,Acompanhamento Farmacoterapêutico,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Évora,,,,Acompanhamento Farmacoterapêutico,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Évora,,,,Acompanhamento Farmacoterapêutico,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade do Porto,, Instituto de Ciências Biomédicas Abel Salazar,,Aconselhamento Genético,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade do Porto,, Instituto de Ciências Biomédicas Abel Salazar,,Aconselhamento Genético,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Évora,,,,Antropologia Biológica,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Évora,,,,Análises Aerobiológicas,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Évora,,,,Análises Aerobiológicas,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Évora,, Escola de Ciências e Tecnologia,,Análises Aerobiológicas,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade Lusófona do Porto,,,,Análises Químicas e Microbiológicas,,,,Curso de especialização tecnológica,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
