CNAEF_Areas of Education and Training,CNAEF_Areas of Education and Training_Main Code,Institution_Name,Institution_Name_ID,Institution_School,,Institution_School_ID,Course_Name,Course_Name_ID,PDC Selection,SM Selection,JA Selection,Final Selection,,Course_ID,Location,Course_Level,Course_Level(ii),Course_Type,Course_Duration,Course_Credits,Education System,Education Sub-System,Teachin&Learning_Specialization,Teachin&Learning_Thematic Area 1,ECTS_1,Teachin&Learning_Thematic Area 2,ECTS_2,Teachin&Learning_Thematic Area 3,ECTS_3,Teachin&Learning_Thematic Area 4,ECTS_4,Teachin&Learning_Thematic Area 5,ECTS_5,Teachin&Learning_Thematic Area 6,ECTS_6,Teachin&Learning_Teaching Staff,Teachin&Learning_Delivery Modes,Teachin&Learning_Accreditation,Teachin&Learning_Accrediting Institution,Contacts_Contact Person Name,Contacts_Contact Person Address,Contacts_Course Director Name,Contacts_Course Director Address,Contacts_Course Website,Activity_Status,Activity_Last Updated,Job Prospects_Career Center,Job Prospects_Partnerships,Job Prospects_Internship,Job Prospects_Employability
Saúde,720,Instituto Politécnico do Porto,3130,Escola Superior de Saúde do Porto,Instituto Politécnico do Porto - Escola Superior de Saúde do Porto,3132,Bioestatística e Bioinformática Aplicadas à Saúde,,Yes,Yes,,Yes,,,Porto,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde,720,Universidade do Porto,1100,Faculdade de Medicina,Universidade do Porto - Faculdade de Medicina,1108,Ciência de Dados de Saúde,,Yes,Yes,Yes,Yes,,,Porto,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Ciências da Engenharia - Engenharia Biomédica e Biofísica,,Not sure,Yes,,Yes,,,Lisboa,,Licenciatura de mestrado integrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Engenharia Biomédica e Biofísica,,Not sure,Yes,,Yes,,,Lisboa,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Engenharia Biomédica e Biofísica,,Not sure,Yes,,Yes,,,Lisboa,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Engenharia Biomédica e Biofísica,,Not sure,Yes,,Yes,,,Lisboa,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Engenharia Biomédica e Biofísica,,Not sure,Yes,,Yes,,,Lisboa,,Mestrado integrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Engenharia Biomédica e Biofísica,,Not sure,Yes,,Yes,,,Lisboa,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Engenharia Biomédica e Biofísica,,Not sure,Yes,,Yes,,,Lisboa,,Mestrado integrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins,520,Instituto Politécnico do Cávado e do Ave,3030,Escola Superior de Tecnologia,Instituto Politécnico do Cávado e do Ave - Escola Superior de Tecnologia,3032,Engenharia Informática Médica,,Yes,Yes,Yes,Yes,,,Barcelos,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Politécnico de Leiria,3100,Escola Superior de Tecnologia e Gestão,Instituto Politécnico de Leiria - Escola Superior de Tecnologia e Gestão,7045,Gestão de Sistemas de Informação Médica,,Not sure,Yes,Yes,Yes,,,Leiria,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade do Porto,1100,Faculdade de Medicina,Universidade do Porto - Faculdade de Medicina,1108,Gestão de Sistemas de Informação Médica,,Not sure,Yes,Yes,Yes,,,Porto,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Estatística,462,Instituto Politécnico de Lisboa,3110,Escola Superior de Tecnologia da Saúde de Lisboa,Instituto Politécnico de Lisboa - Escola Superior de Tecnologia da Saúde de Lisboa,7220,Health Data Science,,Yes,Yes,Yes,Yes,,,Lisboa,,Especialização pós-licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Instituto Politécnico do Cávado e do Ave,3030,Escola Superior de Tecnologia,Instituto Politécnico do Cávado e do Ave - Escola Superior de Tecnologia,3032,Informática Médica,,Yes,Yes,Yes,Yes,,,Barcelos,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Universidade do Porto,1100,Faculdade de Medicina,Universidade do Porto - Faculdade de Medicina,1108,Informática Médica,,Yes,Yes,Yes,Yes,,,Porto,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Universidade do Porto,1100,Faculdade de Ciências,Universidade do Porto - Faculdade de Ciências,1103,Informática Médica,,Yes,Yes,Yes,Yes,,,Porto,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Universidade do Porto,1100,Faculdade de Medicina,Universidade do Porto - Faculdade de Medicina,1108,Informática na Saúde,,Yes,Yes,Yes,Yes,,,Porto,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Instituto Politécnico de Tomar,3240,Escola Superior de Tecnologia de Abrantes,Instituto Politécnico de Tomar - Escola Superior de Tecnologia de Abrantes,3243,Informática na Saúde,,Yes,Yes,Yes,Yes,,,Abrantes,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Instituto Politécnico de Viseu,3180,Escola Superior de Saúde de Viseu,Instituto Politécnico de Viseu - Escola Superior de Saúde de Viseu,7085,Informática para a Saúde,,Yes,Yes,Yes,Yes,,,Viseu,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Instituto Politécnico do Cávado e do Ave,3030,Escola Superior de Tecnologia,Instituto Politécnico do Cávado e do Ave - Escola Superior de Tecnologia,3032,Informática para a Saúde,,Yes,Yes,Yes,Yes,,,Barcelos,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Instituto Politécnico do Cávado e do Ave,3030,Escola Superior de Tecnologia,Instituto Politécnico do Cávado e do Ave - Escola Superior de Tecnologia,3032,Informática para a Saúde,,Yes,Yes,Yes,Yes,,,Barcelos,,Licenciatura bietápica,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Instituto Politécnico de Castelo Branco,3050,Escola Superior de Tecnologia de Castelo Branco,Instituto Politécnico de Castelo Branco - Escola Superior de Tecnologia de Castelo Branco,3053,Informática para a Saúde,,Yes,Yes,Yes,Yes,,,Castelo Branco,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Instituto Politécnico de Castelo Branco,3050,Escola Superior de Tecnologia de Castelo Branco,Instituto Politécnico de Castelo Branco - Escola Superior de Tecnologia de Castelo Branco,3053,Informática para a Saúde,,Yes,Yes,Yes,Yes,,,Castelo Branco,,Licenciatura bietápica,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Instituto Politécnico de Leiria,3100,Escola Superior de Tecnologia e Gestão,Instituto Politécnico de Leiria - Escola Superior de Tecnologia e Gestão,7045,Informática para a Saúde,,Yes,Yes,Yes,Yes,,,Leiria,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Instituto Politécnico de Leiria,3100,Escola Superior de Tecnologia e Gestão,Instituto Politécnico de Leiria - Escola Superior de Tecnologia e Gestão,7045,Informática para a Saúde,,Yes,Yes,Yes,Yes,,,Leiria,,Licenciatura bietápica,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Instituto Politécnico do Cávado e do Ave,3030,Escola Superior de Tecnologia,Instituto Politécnico do Cávado e do Ave - Escola Superior de Tecnologia,3032,Informática para a Saúde (regime pós-laboral),,Yes,Yes,Yes,Yes,,,Barcelos,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
